,name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib,cluster
14,"Cassidy, Josh R.",8.02,17.12,38.02,40.2,48.88,60.82,72.83,82.38,87.4,3.35,13,13,13,29,M,CAN,ON,Port Elgin,W8,2
24,"Filteau, Michel",8.67,18.3,39.63,41.8,50.33,62.33,74.95,84.48,89.4,3.42,14,14,14,47,M,CAN,QC,St-Jean Baptiste,W13,2
76,"Vick, Wes B.",9.77,21.27,46.72,49.27,59.32,73.72,88.17,98.65,104.02,3.98,33,27,27,33,M,CAN,ON,Toronto,W34,2
104,"Scott, Glen E.",12.1,25.62,56.67,59.78,72.67,90.63,109.65,123.58,131.38,5.02,45,37,35,53,M,CAN,AB,Calgary,W48,2
182,"Savard Gagnon, David",16.87,33.92,69.62,73.5,87.87,107.98,127.5,146.57,154.9,5.92,175,154,141,32,M,CAN,QC,Baie-St-Paul,142,2
225,"Mcgrath, Tom",17.72,35.7,71.17,75.03,88.85,106.7,124.95,142.6,150.4,5.75,101,89,83,27,M,CAN,AB,Edmonton,191,2
272,"Way, Dan",17.88,36.12,73.12,77.12,91.53,110.42,129.92,149.37,157.92,6.03,259,233,204,27,M,CAN,ON,Toronto,254,2
283,"Stone, Chris C",18.13,36.38,73.1,77.07,91.33,110.08,129.18,148.67,157.9,6.03,257,231,202,33,M,CAN,AB,Edmonton,266,2
318,"Keefe, Bradley N.",17.9,35.67,71.95,75.88,90.1,109.08,128.65,148.45,157.45,6.02,241,216,191,33,M,CAN,MB,Winnipeg,304,2
329,"Bardeesy, Rami",18.68,37.38,76.53,80.92,97.05,118.93,143.17,169.35,180.65,6.9,2477,2340,196,45,M,CAN,NS,Halifax,317,2
330,"Weppler, Jason V.",17.93,35.9,72.25,76.25,90.7,109.82,129.57,149.62,158.98,6.07,297,270,235,38,M,CAN,ON,Shallow Lake,318,2
346,"Garnier, Louis-Philippe",18.25,36.58,73.98,78.03,92.78,112.13,131.5,150.45,158.57,6.05,279,253,7,49,M,CAN,QC,Montreal,338,2
390,"Bennett, Mark",17.98,35.98,72.53,76.48,90.75,109.57,128.33,146.55,154.68,5.9,170,149,1,53,M,CAN,BC,Vancouver,390,2
438,"Aranda, Christopher J.",18.38,37.15,74.88,78.92,93.85,113.65,133.6,152.75,160.93,6.15,373,346,301,34,M,CAN,ON,Ottawa,445,2
442,"Roulier, Sebastien",18.37,36.72,73.93,77.98,92.52,111.58,130.95,149.77,158.33,6.05,270,244,24,40,M,CAN,QC,Sherbrooke,449,2
461,"Ringler, Warren",19.4,39.1,79.18,83.45,98.75,119.35,140.7,162.32,172.15,6.57,1147,1090,860,37,M,CAN,ON,Toronto,473,2
476,"Renard, Pascal",17.8,35.62,71.8,75.75,90.0,109.35,131.38,154.72,164.58,6.28,561,528,440,38,M,CAN,ON,Ottawa,490,2
503,"Stewart, Simon",17.97,36.23,73.22,77.25,91.77,110.62,129.53,148.15,156.3,5.97,214,191,15,40,M,CAN,AB,Edmonton,520,2
505,"Aitken, Kyle",18.78,38.37,76.95,81.07,95.97,115.63,135.25,154.3,162.77,6.22,465,434,43,41,M,CAN,ON,Mississauga,522,2
512,"Dorval, Guy",18.95,37.8,76.23,80.42,95.47,115.13,135.05,154.85,163.8,6.25,516,484,9,53,M,CAN,QC,Quebec,530,2
522,"Conron, Jeff",18.62,37.08,73.68,77.68,92.38,111.05,129.58,147.75,155.67,5.95,202,179,159,31,M,CAN,ON,Toronto,541,2
529,"Slusarek, Pierre",18.1,36.85,74.33,78.48,93.28,112.45,131.92,151.0,159.38,6.08,316,289,9,47,M,CAN,QC,La Tuque,550,2
536,"Enright, Michael",17.32,35.02,72.18,76.25,90.95,110.33,130.17,150.05,158.92,6.07,294,267,232,26,M,CAN,ON,Hamilton,558,2
550,"Davies, Shawn C.",19.03,38.57,78.5,82.8,98.62,119.47,140.52,162.07,171.53,6.55,1094,1038,821,34,M,CAN,ON,Bowmanville,574,2
614,"Bain, Ross D.",18.73,37.7,75.4,79.5,94.27,113.23,132.5,150.78,159.02,6.07,299,272,236,33,M,CAN,ON,Toronto,648,2
624,"MacKinnon, Daniel J.",19.25,38.48,77.27,81.47,96.63,116.5,136.63,156.33,165.2,6.32,602,568,20,49,M,CAN,ON,Pickering,658,2
709,"MacDonald, Billy P. Jr.",25.27,54.55,118.2,124.75,147.57,178.12,208.35,237.4,251.23,9.58,20290,12100,4256,26,M,CAN,PE,Cornwall,748,2
719,"Perron, Stephan",19.02,38.55,79.07,83.57,99.6,121.35,144.45,168.6,179.5,6.85,2262,2138,328,44,M,CAN,QC,La Baie,761,2
726,"Croker, Nick",18.42,36.98,74.88,79.05,94.5,115.95,139.83,164.22,175.53,6.7,1567,1480,1129,28,M,CAN,ON,Toronto,768,2
739,"Rankel, A.j.",19.52,39.07,78.13,82.42,97.75,118.0,138.42,158.42,167.52,6.4,742,702,77,44,M,CAN,AB,Edmonton,783,2
773,"Moss, Roger",20.43,40.82,81.78,86.27,102.25,123.17,144.45,165.08,174.35,6.65,1403,1325,43,50,M,CAN,ON,Toronto,822,2
778,"Grondin, Mathieu",18.43,37.0,74.45,78.57,93.33,113.2,133.43,154.7,164.1,6.27,527,495,51,40,M,CAN,QC,Bromont,827,2
779,"Prange, Charles J.",18.2,36.72,74.62,78.77,94.25,114.45,135.22,156.03,165.53,6.32,622,587,60,41,M,CAN,ON,Kitchener,828,2
799,"Mac-Thiong, Jean-Marc",18.45,37.02,74.63,78.75,93.73,113.67,133.92,154.67,164.45,6.28,546,513,429,39,M,CAN,QC,Mont-Royal,852,2
818,"Davey, Anthony",18.82,38.05,77.58,81.88,97.45,117.95,139.15,160.28,169.6,6.48,927,881,21,51,M,CAN,ON,Toronto,872,2
852,"Chaisson, Stan J",18.42,36.92,73.88,77.87,92.08,110.83,130.12,149.58,158.67,6.07,282,256,221,31,M,CAN,PE,Charlottetown,912,2
874,"Coish, Bill",19.35,39.22,79.33,83.75,100.07,121.4,143.12,164.27,173.88,6.63,1345,1272,987,35,M,CAN,QC,Outremont,937,2
885,"Girard, Mathieu",19.9,39.95,80.43,84.88,101.33,123.2,145.92,169.52,180.85,6.9,2508,2367,1677,38,M,CAN,QC,St-Bruno,949,2
892,"Caldwell, Vincent",19.02,37.85,76.43,80.62,96.03,116.48,137.68,158.85,168.08,6.42,796,753,88,44,M,CAN,QC,Cookshire-Eaton,958,2
911,"Duench, Marc G",18.3,37.47,75.9,80.07,94.97,114.72,135.5,156.07,165.52,6.32,620,585,488,39,M,CAN,ON,Uxbridge,978,2
942,"Proulx, Alexandre",19.1,38.78,79.72,84.28,100.8,122.33,144.23,165.82,175.08,6.68,1509,1425,189,42,M,CAN,QC,Sherbrooke,1025,2
943,"Clark, Scott",19.58,39.13,79.42,83.82,99.45,120.28,141.35,161.88,171.05,6.53,1046,993,27,50,M,CAN,PE,Summerside,1026,2
