,name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib,cluster
0,"Yamamoto, Hiroyuki",8.02,17.37,37.65,39.72,47.67,59.18,71.4,80.43,85.25,3.27,8,8,8,47,M,JPN,others,Fukuoka,W1,4
2,"Van Dyk, Ernst F.",7.75,16.62,36.1,38.03,45.8,56.45,67.42,76.1,80.6,3.08,1,1,1,41,M,RSA,others,Paarl,W2,4
4,"Hokinoue, Kota",8.02,17.12,36.58,38.6,46.37,57.03,67.83,76.72,81.23,3.1,2,2,2,40,M,JPN,others,Nogata Fukuoka,W3,4
6,"Hug, Marcel E.",8.38,17.65,37.65,39.72,47.67,58.6,70.23,79.83,84.65,3.23,4,4,4,28,M,SUI,others,Neuenkirch,W4,4
7,"Geneti, Markos",15.17,30.48,61.62,64.85,76.95,92.52,107.47,122.8,129.83,4.97,5,5,5,29,M,ETH,others,Addis Ababa,5,4
8,"Soejima, Masazumi",8.0,17.12,36.6,38.6,46.37,57.03,67.83,76.7,81.23,3.1,3,3,3,43,M,JPN,others,Isahaya,W6,4
11,"Chebet, Wilson",15.18,30.52,61.63,64.87,76.97,92.52,107.47,121.95,128.8,4.92,2,2,2,28,M,KEN,others,Marakwet,7,4
12,"Lemeunier, Denis Sr.",8.4,18.13,39.03,41.18,49.17,60.85,72.6,82.17,86.95,3.32,11,11,11,49,M,FRA,others,Taule,W7,4
16,"Madera, Jordi",8.02,17.13,36.98,39.12,47.45,58.73,70.6,79.92,84.7,3.23,5,5,5,34,M,ESP,others,Les Franquesas,W9,4
18,"Hamerlak, Tomasz",8.67,18.17,39.05,41.2,49.15,59.92,70.83,80.18,84.88,3.25,7,7,7,38,M,POL,others,Bystra,W10,4
20,"Chepkwony, Frankline",15.18,30.5,61.63,64.9,76.95,92.52,107.47,122.22,128.83,4.92,3,3,3,29,M,KEN,others,Koibatek,11,4
22,"Kogo, Micah",15.17,30.5,61.62,64.88,76.97,92.52,109.12,128.18,137.2,5.23,17,17,17,27,M,KEN,others,Eldoret,12,4
23,"Botello Jimenez, Rafael",8.68,18.17,39.05,41.2,49.15,60.87,72.7,82.17,86.95,3.32,12,12,12,35,M,ESP,others,Manlleu,W12,4
26,"Annani, Adil",15.18,30.53,61.63,64.88,76.97,92.6,109.15,125.23,132.72,5.07,10,10,10,33,M,MAR,others,Marrakesh,14,4
29,"Lonyangata, Paul",15.18,30.52,61.63,64.9,76.97,92.52,108.17,124.98,132.57,5.07,9,9,9,31,M,KEN,others,Eldoret,15,4
32,"Kimurer, Joel",15.18,30.52,61.63,64.87,76.97,92.52,108.02,123.83,131.05,5.0,6,6,6,26,M,KEN,others,Iten,16,4
33,"Puigbo Verdaguer, Roger Sr.",8.68,18.3,40.73,43.17,52.9,67.12,81.77,92.87,98.42,3.77,26,24,24,36,M,ESP,others,Sant Julia De Vilatorta,W16,4
35,"April, Lusapho",15.18,30.52,61.63,64.88,76.95,92.52,108.32,126.32,134.98,5.15,15,15,15,31,M,RSA,others,Uitenhage,17,4
50,"Shafar, Vitaliy",15.4,30.82,61.62,64.93,76.85,92.5,108.0,122.97,129.62,4.95,4,4,4,32,M,UKR,others,Lutsk,23,4
56,"Wahoram, Prawat",8.68,18.17,39.05,41.2,49.15,60.17,72.18,81.83,95.5,3.65,19,18,18,33,M,THA,others,Bangkok,W25,4
57,"Sakai, Koichi",15.42,30.83,62.3,65.7,78.02,94.33,111.12,127.67,134.93,5.15,14,14,14,28,M,JPN,others,Chiba,26,4
58,"Tana, Rawat",8.98,18.77,39.37,41.52,49.75,61.17,72.62,82.18,86.9,3.32,10,10,10,36,M,THA,others,Bangkok,W26,4
61,"Qi, Ji Dong",9.33,20.22,43.8,46.23,55.68,68.17,80.95,91.65,96.6,3.7,23,22,22,19,M,CHN,others,Liao Ning,W28,4
65,"Li, Lai Zu",9.97,21.13,46.15,48.65,57.87,70.95,84.08,95.12,100.62,3.85,30,26,26,26,M,CHN,others,Liao ning,W29,4
66,"Cao, De Cheng",9.25,19.73,42.32,44.72,54.18,67.45,80.83,91.65,96.53,3.68,21,20,20,21,M,CHN,others,Liao Ning,W30,4
70,"Sanz, Santiago",10.17,21.6,47.28,49.93,60.13,74.35,88.6,100.28,106.2,4.07,38,31,1,33,M,ESP,others,Albatera,W32,4
80,"Njeri, Daniel N.",15.2,31.15,65.67,69.55,83.62,102.45,122.53,150.73,159.35,6.08,313,286,248,34,M,KEN,others,Eldoret,35,4
89,"Ishiguro, Daisuke",15.68,32.13,63.93,67.37,79.92,96.8,114.62,138.67,150.72,5.75,106,92,86,21,M,JPN,others,Tokyo,40,4
106,"Fujimatsu, Toshiyuki",15.58,31.87,65.82,69.5,83.45,101.88,123.35,144.87,154.03,5.88,150,129,119,26,M,JPN,others,Tokyo,48,4
113,"Shabunin, Viacheslav V.",16.38,32.77,66.08,69.77,82.72,99.6,116.47,133.38,140.72,5.37,29,25,2,44,M,RUS,others,Moscow,76,4
118,"Achmuller, Hermann",16.45,33.15,67.32,71.15,84.88,103.05,121.63,140.48,148.98,5.68,81,69,5,43,M,ITA,others,Brixen,83,4
123,"Duca, Francesco",16.35,32.98,67.1,70.78,84.05,101.82,121.95,143.22,153.07,5.85,139,120,7,40,M,ITA,others,Cordignano (tv),88,4
129,"Schulze, Marc",16.05,32.42,65.93,69.65,83.38,102.33,122.33,141.72,149.68,5.72,91,79,73,29,M,GER,others,Dresden,103,4
187,"Nielsen, Brian",17.2,34.8,71.7,75.67,90.42,109.98,130.92,151.53,160.82,6.13,369,342,297,37,M,SWE,others,Tullinge,148,4
191,"Papadopoulos, Ioannis",17.3,34.73,70.27,74.17,88.85,109.52,131.17,159.33,169.55,6.47,922,876,711,29,M,GRE,others,Athens,152,4
202,"Pearson, Neil F.",17.08,34.4,69.62,73.5,87.45,106.07,126.08,146.38,155.1,5.92,183,161,8,41,M,AUS,others,Rozelle,166,4
234,"Schramm, Cedric",18.27,36.93,75.3,79.62,94.5,113.82,133.28,152.23,161.12,6.15,381,354,307,37,M,FRA,others,Sarreguemines,202,4
255,"Yamanaka, Yuji",16.8,34.17,69.97,73.78,88.05,107.02,126.83,146.62,155.65,5.95,199,176,13,42,M,JPN,others,Saitama-Ken Pref,233,4
281,"Beedell, Thomas C.",17.75,35.77,71.82,75.83,89.93,108.47,127.45,146.47,155.37,5.93,189,166,151,27,M,GBR,others,Brentwood,263,4
286,"Fernandez Cantos, Juan Antonio Sr.",16.73,33.88,68.87,72.63,86.35,104.6,123.23,142.38,150.75,5.75,107,93,87,32,M,ESP,others,Benidorm,269,4
298,"Minns, Chris",18.52,37.17,74.57,78.67,93.42,112.97,133.0,153.62,163.13,6.23,479,448,45,40,M,GBR,others,Beckenham,282,4
332,"Harada, Koichi",18.85,38.03,77.23,81.43,96.78,117.53,139.0,160.6,171.33,6.55,1075,1020,806,37,M,JPN,others,Tokyo,321,4
339,"Torres Peanilla, Jose Ramon T. Sr.",19.28,38.65,78.57,82.98,99.38,125.02,149.5,173.43,183.97,7.02,3033,2842,261,49,M,ESP,others,Burgos,329,4
361,"Apovian, Marcelo",18.4,35.77,71.78,75.65,89.75,108.25,127.23,148.53,159.25,6.08,309,282,27,41,M,BRA,others,Sao Paulo,356,4
370,"Vrbetic, Adrijano",17.63,35.67,72.52,76.5,91.05,110.75,130.72,150.17,158.52,6.05,276,250,25,41,M,SLO,others,Ljubljana,366,4
372,"Cross, Robert",18.1,36.17,73.6,77.78,92.97,113.67,136.6,158.57,168.45,6.43,820,775,90,40,M,IRL,others,Dublin,369,4
396,"Kim, Yeong Gap",32.73,65.68,141.08,150.88,186.05,235.38,286.68,332.35,352.13,13.43,30686,17033,2569,40,M,KOR,others,Seoul,396,4
402,"Dal Pastro, Juan Jose J. Sr.",17.12,34.83,71.0,74.92,89.15,108.28,127.85,146.95,155.4,5.93,192,169,11,40,M,ARG,others,Rosario,402,4
423,"Santos, Nicolas",18.15,36.37,73.77,77.83,92.5,111.33,130.4,148.97,157.15,6.0,231,206,182,35,M,COL,others,Bogota,426,4
434,"El Arbi, Koundy",17.95,36.4,74.12,78.25,93.42,113.77,134.87,155.6,164.48,6.28,550,517,55,43,M,FRA,others,L Abergement St Colombe,441,4
455,"Savignoni, Jean-Christophe",20.15,40.77,81.92,86.43,102.65,124.05,146.08,168.15,178.2,6.8,1978,1870,134,47,M,FRA,others,Vincennes,466,4
465,"Tatarczak, Norbert",22.43,45.88,95.9,101.33,129.17,157.32,186.55,217.45,230.8,8.82,15507,10056,1731,43,M,POL,others,Szczecin,479,4
498,"McMullen, Jarrod W.",18.45,37.0,74.97,79.05,94.08,113.88,134.53,154.95,164.15,6.27,532,500,419,31,M,AUS,others,Newcomb,513,4
501,"Watanabe, Katsuhiko",21.47,44.57,93.65,98.93,118.25,144.18,170.27,196.6,208.03,7.95,8688,6877,1320,41,M,JPN,others,Tokyo,516,4
524,"Ma, Liangwu",17.58,35.6,72.03,76.0,90.35,109.15,127.98,146.28,154.05,5.88,153,132,4,45,M,CHN,others,Chuxiong,545,4
533,"McKean, Steve B.",17.78,36.05,74.53,78.78,94.6,115.72,137.6,159.62,169.6,6.48,926,880,41,49,M,AUS,others,Perth,555,4
561,"Saeki, Kunihiro",23.0,45.88,93.17,98.3,117.42,143.53,174.93,207.58,220.33,8.42,12518,8781,1580,42,M,BRA,others,Sao Paulo,586,4
574,"Tatham, Alasdair G.",18.97,38.45,78.25,82.6,98.57,120.3,143.68,167.88,178.5,6.82,2029,1919,289,41,M,GBR,others,Yarm,600,4
578,"Dimbleby, Peter J.",18.9,37.93,76.62,80.87,96.18,116.48,137.67,159.05,169.18,6.47,890,844,685,39,M,GBR,others,Walsall,605,4
592,"Verboven, Vincent",18.18,36.62,74.4,78.55,93.82,114.63,136.5,157.97,167.7,6.4,754,714,80,44,M,NED,others,S-Hertogenbosch,619,4
602,"Brons, Hans",18.42,37.07,75.03,79.15,94.03,113.82,134.05,153.72,162.83,6.22,469,438,14,48,M,NED,others,Vlijmen,633,4
619,"Rigo, Andrea",17.92,36.6,75.1,79.18,94.37,114.15,134.52,154.55,163.65,6.25,504,472,17,45,M,ITA,others,Thiene,653,4
622,"Pabon, Jose Manuel",19.02,38.6,78.17,82.4,97.87,117.98,138.05,158.38,167.33,6.38,729,690,571,31,M,GBR,others,London,656,4
629,"Fernandez Cordoba, Nacho",18.98,37.92,76.33,80.55,96.32,117.95,141.58,165.97,176.83,6.75,1743,1647,234,41,M,ESP,others,Coslada,663,4
640,"Betkowski, Piotr",18.78,37.55,75.27,79.45,94.05,113.12,132.3,150.78,158.75,6.07,284,258,223,26,M,POL,others,Toru,676,4
651,"Summers, Peter",18.72,37.85,77.73,82.1,97.73,118.37,138.97,159.35,168.47,6.43,822,777,32,47,M,GBR,others,High Wycombe,688,4
654,"Jonsson, Peter K.",19.53,39.42,80.48,85.03,101.98,125.02,148.87,172.98,183.37,7.0,2920,2745,133,50,M,SWE,others,Sodertalje,691,4
660,"Geddes, Euan G.",18.23,36.7,74.57,78.67,93.65,113.38,133.13,152.45,161.03,6.15,376,349,33,42,M,GBR,others,Glasgow,697,4
669,"Ravera, Claudio",20.1,40.38,81.43,86.5,104.88,129.75,154.42,178.08,188.5,7.2,3831,3528,2272,39,M,ITA,others,Cuneo,706,4
677,"Sela, Tal",19.0,37.95,76.12,80.25,95.07,114.6,135.0,156.62,167.42,6.4,734,695,576,32,M,ISR,others,Tel Aviv,715,4
685,"Wickham, Benjamin M.",19.45,38.82,78.13,82.43,97.87,118.48,139.65,160.83,169.55,6.47,923,877,712,34,M,GBR,others,London,723,4
687,"Stockdale, Peter C",22.98,44.18,92.62,97.77,117.68,145.62,174.27,204.62,217.45,8.3,11611,8365,3579,33,M,GBR,others,Loughborough,725,4
693,"Howard, David J.",19.3,38.08,76.12,80.18,95.08,114.67,134.42,153.82,162.6,6.22,450,420,359,33,M,AUS,others,Woodend,731,4
696,"Ryska, Vit",18.23,36.85,75.08,79.38,95.5,119.4,147.08,184.25,198.38,7.57,6019,5218,2867,38,M,CZE,others,Brno,734,4
729,"Ashworth-Beaumont, James E.",18.15,37.05,76.45,80.8,96.75,118.13,140.45,163.5,173.57,6.63,1307,1236,71,48,M,GBR,others,London,771,4
746,"Cerize, Pedro L. Sr.",19.45,39.42,80.47,85.02,102.98,127.28,155.93,184.65,260.43,9.93,21934,12848,2040,44,M,BRA,others,Sao Paulo,791,4
752,"Prendergast, Leigh",18.88,38.25,78.33,82.78,99.3,121.73,145.15,168.7,179.28,6.85,2212,2091,1508,36,M,AUS,others,West Footscray,797,4
759,"Da Ronch, Fabrizio",19.18,38.52,77.92,82.27,97.87,118.75,140.05,161.17,170.78,6.52,1020,967,116,40,M,SUI,others,Fribourg,806,4
760,"Carlsson, Stefan",18.13,36.68,75.02,79.27,94.83,115.68,138.02,160.93,171.12,6.53,1058,1004,121,41,M,SWE,others,Helsingborg,807,4
768,"Zuellig, Lukas",19.53,38.85,78.53,82.92,99.5,120.78,145.05,167.55,177.2,6.77,1813,1714,250,40,M,SUI,others,Oberweningen,816,4
789,"Norman, Bjorn Erik",22.2,45.38,92.43,97.62,116.22,140.4,164.12,187.65,198.07,7.57,5939,5162,2851,31,M,NOR,others,Grimstad,842,4
792,"Henderson, Stuart",19.08,38.83,82.38,87.18,106.23,134.68,170.62,214.27,233.43,8.92,16225,10364,1767,40,M,GBR,others,Chippenham,845,4
796,"Noble, Robert J.",19.02,38.38,77.92,82.42,98.33,119.2,140.45,162.02,172.13,6.57,1146,1089,859,33,M,FRA,others,Montpellier,849,4
816,"MacDonald, Iain D.",19.15,38.52,77.35,81.52,96.25,115.37,134.7,153.53,161.58,6.17,398,371,320,26,M,GBR,others,Gullane,870,4
830,"Ipino, Alessandro",19.32,38.57,77.43,81.75,97.23,117.75,138.53,159.73,169.28,6.47,897,851,100,40,M,ITA,others,Bassano Del Grappa,885,4
842,"Nagasaka, Masahiko",18.52,37.68,76.1,80.25,95.22,114.78,134.57,154.07,162.9,6.22,471,440,8,50,M,JPN,others,Anjo-Shi Aichi,899,4
843,"Lane, Dean S.",18.03,36.5,74.78,79.08,94.83,117.3,142.85,170.67,184.3,7.03,3100,2901,272,45,M,AUS,others,"Hillarys, Western Australia",900,4
