,name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib,cluster
855,"Agui, Taro",17.82,36.38,76.18,80.62,97.45,122.13,145.58,168.13,178.17,6.8,1975,1868,1376,39,M,JPN,others,"Shibuya-Ku, Tokyo",916,4
863,"Benson, Craig",17.93,36.77,75.78,79.93,95.12,115.22,135.7,156.35,165.0,6.3,593,559,59,43,M,AUS,others,Curtin,925,4
878,"Warren, Gary S.",18.63,38.02,79.23,83.83,101.5,125.0,150.8,176.42,187.8,7.17,3707,3426,357,45,M,GBR,others,Middlesex,941,4
914,"Brienne, Gert",19.22,38.57,78.08,82.33,97.75,118.23,139.17,160.33,171.25,6.53,1066,1012,56,46,M,NED,others,Medemblik,981,4
917,"Vargas, Will",23.73,69.42,146.57,152.5,179.88,213.58,240.02,265.7,278.7,10.63,24621,14099,4794,39,M,COL,others,Bogota,984,4
923,"Go, Cheoljin",18.45,36.87,74.78,79.02,94.25,114.6,136.13,157.75,167.63,6.4,749,709,583,38,M,KOR,others,Seoul,1004,4
931,"Enz, Daniel",18.43,37.32,76.9,81.22,97.37,118.87,140.82,162.75,172.4,6.58,1177,1116,878,28,M,SUI,others,Bassersdorf,1013,4
932,"Murillo, Juan Felix",19.03,38.25,76.88,81.03,96.08,115.98,136.68,158.57,169.97,6.48,957,908,737,32,M,CRC,others,"San Antonio De Belen, Heredia",1014,4
952,"Arreola Acosta, Jesus R.",17.58,35.35,71.97,76.0,90.98,110.7,130.67,151.62,161.05,6.15,377,350,303,38,M,MEX,others,Ciudad Acuna,1039,4
955,"Perez, Josue P J. Sr.",18.57,37.48,77.82,82.32,98.6,120.32,143.5,165.87,175.43,6.7,1551,1465,196,40,M,GUA,others,Guatemala,1043,4
969,"Aycinena, Nicolas",18.78,37.7,75.78,79.92,94.9,115.0,135.72,155.57,164.45,6.28,547,514,430,35,M,GUA,others,Guatemala,1061,4
970,"Karm, Martin",19.15,37.93,75.55,79.67,94.68,114.98,136.12,161.2,177.85,6.78,1924,1820,1346,35,M,AUS,others,Balmain Nsw,1063,4
993,"Klimek, Frank",19.27,38.65,78.18,82.47,98.15,118.8,139.73,159.85,168.73,6.45,847,802,33,47,M,GER,others,Hamburg,1092,4
1037,"Li, Derek",18.87,37.98,76.02,80.1,94.92,114.33,133.77,153.02,162.02,6.18,422,394,339,32,M,SIN,others,Singapore,1146,4
1041,"Del Campo Agustin, Angel Luis L. Sr.",19.58,39.37,79.78,84.25,100.03,120.57,141.08,161.53,170.68,6.52,1011,958,115,41,M,ESP,others,Valganon 26288 (La Rioja),1150,4
1044,"Lambert, Craig A",20.18,41.07,85.52,90.45,109.32,134.37,158.05,182.95,193.58,7.4,4939,4424,858,44,M,AUS,others,"Sydney, Nsw",1156,4
1052,"Antvorskov, Bo",19.37,38.82,79.28,83.8,100.13,122.25,145.27,168.78,178.98,6.83,2138,2021,71,53,M,DEN,others,Kobenhavn K,1165,4
1065,"Galaviz, Jose F. Sr.",19.18,38.52,77.12,81.27,96.57,117.08,138.57,165.65,177.3,6.77,1833,1734,57,50,M,MEX,others,Monterrey,1180,4
1093,"Kovacs, Attila",18.9,37.62,76.58,80.95,96.85,118.52,141.62,166.23,177.8,6.78,1913,1809,127,45,M,HUN,others,Kecskemet,1214,4
1123,"Wright, James",19.48,38.6,77.95,82.37,99.23,121.73,145.32,169.68,179.7,6.87,2307,2179,1565,35,M,GBR,others,Chelmsford,1249,4
1131,"Veliz, Nicolas Antonio Sr.",18.97,38.1,78.18,82.57,98.97,121.08,144.0,166.15,176.37,6.73,1674,1581,1197,39,M,ARG,others,Capital Federal,1261,4
1137,"Helder, Arellano J.",19.18,37.77,76.23,80.62,96.87,119.08,143.75,173.08,183.52,7.0,2945,2764,1901,33,M,MEX,others,Celaya,1269,4
1138,"Fuller, Jon D.",19.37,38.5,77.77,81.98,97.6,119.65,143.88,168.15,179.57,6.85,2281,2155,330,41,M,AUS,others,Mclaren Flat,1270,4
1139,"Panizzolo, Giacomo",19.42,39.12,79.02,83.35,99.2,121.25,145.02,168.27,178.27,6.8,1994,1886,1389,38,M,ITA,others,Stra,1271,4
1142,"Gordon, Jay",18.98,37.97,76.22,80.32,95.2,114.9,134.93,154.6,163.07,6.23,474,443,376,26,M,AUS,others,Latrobe,1275,4
1148,"Bell, Robert A",19.87,39.9,80.88,85.45,101.77,123.6,146.07,167.87,177.52,6.78,1859,1759,1312,35,M,GBR,others,London,1282,4
1149,"Casonato, Claudio",19.37,38.48,77.33,81.57,96.75,116.68,137.03,156.9,165.93,6.33,646,609,65,44,M,ITA,others,Castelfranco Veneto,1283,4
1151,"Hunter, Mark J.",18.83,37.67,75.53,79.68,94.5,113.6,132.88,152.72,162.35,6.2,436,408,351,35,M,AUS,others,Dawesville,1285,4
1157,"Stockman, Willem M.",19.87,39.87,80.2,84.55,100.33,121.4,143.47,167.12,177.47,6.78,1850,1750,118,47,M,BEL,others,Roeselare,1293,4
1158,"Murray, James I.",19.98,39.93,80.42,84.73,100.43,121.78,143.98,166.1,176.02,6.72,1630,1538,208,43,M,GBR,others,Bideford,1294,4
1170,"Cossey, Tristan M.",20.47,42.08,94.27,99.73,121.32,150.37,178.73,205.92,217.57,8.3,11649,8386,1542,45,M,GBR,others,Norwich,1307,4
1171,"Kustec, Gregor",17.9,36.1,72.7,76.72,90.98,109.78,129.17,148.2,157.12,6.0,230,205,18,42,M,SLO,others,Skofja Loka,1308,4
1180,"Laurila, Joonas S.",19.65,39.3,79.12,83.48,99.18,119.75,140.97,161.68,170.65,6.52,1009,956,766,32,M,FIN,others,Helsinki,1320,4
1201,"Baynes, Chris",19.65,39.43,79.45,83.85,99.65,120.68,141.85,163.12,172.4,6.58,1179,1118,880,34,M,GBR,others,Welwyn Garden City,1343,4
1265,"Bosi, Giorgio Sr.",19.05,38.47,78.13,82.5,98.35,119.15,140.35,161.35,170.63,6.52,1005,952,114,42,M,ITA,others,Fidenza,1413,4
1279,"Yttring, Martin",20.37,40.27,80.67,85.07,101.45,125.33,148.32,172.0,182.25,6.97,2727,2570,220,46,M,SWE,others,Gothenburg,1429,4
1280,"Redo, Franck",18.58,37.02,74.18,78.2,92.8,111.88,131.3,149.97,158.25,6.05,266,240,22,40,M,FRA,others,Marseille,1430,4
1290,"Fox, Sean",20.48,41.5,83.3,87.87,104.45,126.07,147.72,169.5,179.47,6.85,2253,2130,1531,39,M,IRL,others,Dublin,1441,4
1292,"Beccarelli, Giuliano",19.82,39.7,79.67,84.03,99.87,120.82,142.67,165.03,175.32,6.7,1540,1455,93,49,M,SUI,others,Uster,1443,4
1312,"Nilsson, Marcus",20.3,40.87,84.87,89.58,109.9,135.93,163.27,189.5,200.58,7.65,6595,5611,864,46,M,SWE,others,Taby,1465,4
1324,"Streif, Andreas",18.47,37.48,77.23,81.57,97.9,119.88,143.22,166.97,177.22,6.77,1816,1717,1283,32,M,AUT,others,Vienna,1477,4
1335,"Lorente, Jose",19.45,38.82,78.83,83.15,99.08,120.83,142.78,164.62,174.53,6.67,1425,1346,173,43,M,ESP,others,Barcelona,1491,4
1337,"Onistrat, Andrii M. Sr.",19.57,39.47,80.55,85.08,101.53,123.53,146.02,168.13,177.72,6.78,1899,1797,265,40,M,UKR,others,Kyev,1493,4
1338,"Alderin, Filip",20.1,40.15,80.92,85.38,101.53,122.87,144.27,165.97,175.48,6.7,1558,1471,1123,35,M,SWE,others,Norsholm,1494,4
1348,"Hagen, Mattias",19.05,38.88,78.27,82.57,98.28,118.9,139.77,160.03,168.95,6.45,867,821,97,42,M,SWE,others,Lidingo,1505,4
1350,"Jansson, Erik",19.87,39.3,78.9,83.28,99.05,119.95,141.37,163.05,173.12,6.62,1247,1181,926,36,M,SWE,others,Amal,1507,4
1373,"Hobbs, James",20.5,41.47,84.13,88.77,105.97,129.13,153.8,179.45,189.57,7.23,4047,3703,2349,36,M,GBR,others,Dursley,1535,4
1382,"Colombo, Davide",19.58,39.15,78.88,83.2,98.88,119.83,141.47,163.48,173.72,6.63,1324,1253,974,37,M,ITA,others,Cabiate,1546,4
1410,"Brady, James D.",20.7,42.03,85.22,89.88,106.73,128.28,149.9,171.25,180.48,6.9,2449,2315,1647,32,M,IRL,others,"Terenure, Dublin",1580,4
1413,"Zapata, Gonzalo Sr.",19.63,39.33,78.28,82.52,97.72,117.68,137.8,157.42,166.13,6.35,655,618,512,35,M,CHI,others,Santiago,1583,4
1416,"Geerdts, Arnold",20.4,40.95,82.57,87.17,103.9,126.47,149.82,176.42,190.5,7.27,4252,3876,241,52,M,RSA,others,Johannesburg,1587,4
1422,"Harrington, Patrick M.",18.8,37.85,79.73,84.13,102.28,126.4,152.78,182.78,194.03,7.42,5051,4515,2647,35,M,GBR,others,Edinburgh,1594,4
1423,"Heath, Wayne R.",19.55,38.98,79.47,83.95,100.38,122.08,145.37,168.37,178.85,6.83,2101,1985,1445,38,M,AUS,others,Hastings,1595,4
1444,"Mathias, Todd",19.42,39.03,78.17,82.5,98.02,118.82,140.72,163.57,173.8,6.63,1334,1262,979,31,M,GBR,others,London,1621,4
1466,"Quintanilla Cisneros, Sergio",19.27,38.7,78.32,82.62,98.3,119.63,141.75,164.32,174.3,6.65,1392,1316,1019,31,M,MEX,others,"San Nicolas De Los Garza, Nl",1648,4
1480,"Knott, Timothy J.",19.3,38.1,76.32,80.48,95.85,116.42,137.32,158.2,167.38,6.4,732,693,574,35,M,GBR,others,"Douglas, Isle Of Man",1665,4
1487,"Miyamotto, Bruno",19.62,39.37,79.57,83.9,99.67,120.38,141.37,161.78,171.13,6.53,1059,1005,122,40,M,MEX,others,Mexico Df,1676,4
1499,"Cotter, Liam",19.47,38.93,78.35,82.68,98.1,118.48,139.23,159.8,168.98,6.45,872,826,36,48,M,IRL,others,Cork,1692,4
1502,"Johnson, Paul",19.35,39.02,77.95,82.23,97.67,117.92,138.63,159.68,168.95,6.45,869,823,669,29,M,GBR,others,Walton-On-Thames,1695,4
1510,"Oddy, Christopher P.",19.23,38.57,77.33,81.52,96.58,115.87,134.93,153.47,161.93,6.18,420,392,337,27,M,GBR,others,London,1704,4
1514,"Magnusson, Thorir",19.83,39.7,79.8,84.17,100.28,121.75,144.35,166.72,176.55,6.75,1698,1604,225,42,M,ISL,others,Reykjavik,1708,4
1526,"Nielsen, Martin Dollerup",20.98,42.43,86.25,90.93,108.22,131.25,155.3,178.98,189.43,7.23,4022,3684,667,43,M,DEN,others,Odense C,1721,4
1532,"Charles, David",18.92,38.22,78.97,83.35,99.63,121.35,143.73,165.7,175.9,6.72,1622,1531,51,50,M,VEN,others,Caracas,1729,4
1535,"Parazzoli, Carlo G.",19.18,38.38,77.57,81.87,98.62,120.4,144.38,167.93,177.58,6.78,1877,1777,122,49,M,ITA,others,Valmadrera,1733,4
1540,"Zwilling, Thomas",21.6,43.35,87.38,92.17,109.62,132.33,154.5,176.82,185.93,7.1,3379,3135,517,44,M,GER,others,Bad Soden,1739,4
1541,"Monasterio Mateo, Jorge Sr.",19.92,39.52,80.88,85.53,103.85,129.23,154.27,178.7,189.0,7.22,3934,3614,646,40,M,ESP,others,Ortuella (bizkaia),1740,4
1584,"Germann, Rico",19.72,38.88,77.88,82.17,98.37,120.78,144.13,167.17,177.08,6.77,1787,1688,242,43,M,SUI,others,Zofingen,1791,4
1586,"Martinez Balbuena, Emilio",19.0,38.45,79.27,83.98,100.12,120.92,143.5,165.67,174.75,6.67,1455,1375,83,49,M,DOM,others,Santiago,1795,4
1589,"Tetsuo, Ogawa",21.68,44.15,91.23,96.73,117.43,146.7,181.32,212.42,226.02,8.63,14197,9503,1666,41,M,JPN,others,Tokyo,1798,4
1592,"Halldorsson, Floki",19.83,39.7,79.72,84.12,100.3,122.92,147.27,172.82,184.05,7.03,3045,2854,457,40,M,ISL,others,Reykjavik,1803,4
1608,"Cruzate, Ruben E. Sr.",20.4,40.92,81.47,85.9,101.67,122.23,143.3,164.02,173.32,6.62,1269,1200,938,39,M,ARG,others,Mendoza,1820,4
1615,"Mora Useche, Marlon Enrique Sr.",19.08,38.28,78.37,82.9,99.53,122.45,145.32,169.42,179.87,6.87,2348,2218,342,40,M,COL,others,Bogota,1828,4
1618,"Sell Ribeiro Neto, Affonso Nilton Walmor",20.28,40.58,80.83,85.28,101.05,121.58,142.28,163.47,173.62,6.63,1314,1243,968,35,M,BRA,others,Florianopolis,1832,4
1635,"Deunf, Philippe",19.47,39.23,79.5,83.9,99.78,120.87,141.77,161.73,170.88,6.53,1030,977,52,49,M,FRA,others,Fronton,1853,4
1652,"Acosta Rosales, Edgar",19.17,38.4,78.35,82.67,98.6,120.2,143.48,166.15,177.67,6.78,1894,1793,1331,38,M,MEX,others,Atizapan De Zaragoza,1873,4
1661,"Blagg, Matthew J",19.35,38.73,77.77,82.03,97.55,119.55,142.1,166.4,177.18,6.77,1804,1705,1277,34,M,GBR,others,London,1883,4
1664,"Rojas Alvarez, Jose N. Sr.",18.8,37.87,77.83,82.15,98.47,120.52,144.47,168.35,178.42,6.82,2015,1906,137,45,M,COL,others,Bogota,1888,4
1674,"Bakker, Michiel J.",18.65,37.75,79.05,83.6,100.38,122.72,145.92,169.03,182.52,6.97,2774,2616,223,48,M,GBR,others,London,1899,4
1676,"Deelder, Wouter A.",19.75,39.25,78.65,83.03,99.38,121.92,146.83,171.8,182.7,6.98,2823,2661,1851,34,M,SUI,others,Geneva,1901,4
